iter	Passed	Remaining
903	10778	13067
904	10790	13056
905	10800	13041
906	10810	13027
907	10823	13016
908	10835	13005
909	10847	12993
910	10860	12982
911	10871	12969
912	10883	12957
913	10893	12943
914	10904	12930
915	10915	12917
916	10928	12906
917	10940	12894
918	10952	12882
919	10964	12871
920	10976	12859
921	10989	12848
922	11000	12836
923	11013	12825
924	11026	12814
925	11038	12802
926	11050	12791
927	11062	12778
928	11074	12767
929	11087	12756
930	11097	12742
931	11109	12730
932	11119	12716
933	11132	12705
934	11144	12694
935	11157	12683
936	11170	12672
937	11183	12661
938	11195	12649
939	11205	12635
940	11216	12622
941	11228	12611
942	11241	12600
943	11251	12586
944	11262	12573
945	11274	12561
946	11284	12547
947	11296	12536
948	11308	12523
949	11320	12512
950	11333	12501
951	11343	12487
952	11355	12475
953	11367	12463
954	11377	12450
955	11390	12438
956	11402	12427
957	11413	12413
958	11425	12402
959	11438	12391
960	11450	12380
961	11463	12369
962	11476	12357
963	11489	12347
964	11501	12336
965	11513	12323
966	11525	12312
967	11535	12298
968	11547	12286
969	11559	12274
970	11569	12260
971	11582	12249
972	11594	12237
973	11606	12226
974	11619	12215
975	11629	12201
976	11642	12190
977	11652	12176
978	11661	12161
979	11671	12147
980	11680	12133
981	11690	12118
982	11699	12104
983	11709	12090
984	11719	12075
985	11733	12066
986	11746	12055
987	11758	12044
988	11769	12031
989	11780	12018
990	11792	12006
991	11805	11996
992	11817	11984
993	11829	11972
994	11841	11960
995	11853	11948
996	11865	11936
997	11877	11924
998	11888	11912
999	11901	11901
1000	11913	11890
1001	11923	11875
1002	11935	11864
1003	11946	11850
1004	11958	11839
1005	11970	11827
1006	11982	11815
1007	11994	11803
1008	12004	11790
1009	12016	11778
1010	12027	11766
1011	12039	11753
1012	12052	11743
1013	12063	11730
1014	12074	11717
1015	12085	11705
1016	12098	11694
1017	12111	11683
1018	12123	11671
1019	12136	11660
1020	12149	11649
1021	12159	11636
1022	12172	11624
1023	12184	11613
1024	12196	11601
1025	12208	11589
1026	12220	11577
1027	12231	11564
1028	12245	11554
1029	12259	11545
1030	12270	11532
1031	12281	11520
1032	12294	11508
1033	12307	11497
1034	12317	11484
1035	12329	11473
1036	12342	11461
1037	12353	11448
1038	12363	11434
1039	12375	11423
1040	12388	11412
1041	12400	11401
1042	12412	11389
1043	12424	11377
1044	12436	11365
1045	12449	11354
1046	12460	11341
1047	12472	11330
1048	12486	11320
1049	12500	11309
1050	12511	11297
1051	12524	11286
1052	12534	11273
1053	12547	11261
1054	12559	11250
1055	12572	11238
1056	12583	11226
1057	12594	11213
1058	12606	11202
1059	12619	11191
1060	12630	11178
1061	12644	11167
1062	12657	11156
1063	12669	11145
1064	12682	11134
1065	12694	11122
1066	12707	11111
1067	12720	11100
1068	12733	11089
1069	12744	11076
1070	12755	11064
1071	12767	11052
1072	12780	11041
1073	12792	11029
1074	12803	11017
1075	12814	11004
1076	12827	10993
1077	12838	10980
1078	12849	10968
1079	12863	10957
1080	12876	10946
1081	12888	10934
1082	12900	10923
1083	12912	10911
1084	12923	10898
1085	12935	10886
1086	12945	10873
1087	12957	10861
1088	12970	10850
1089	12981	10837
1090	12994	10826
1091	13005	10814
1092	13017	10802
1093	13029	10790
1094	13039	10777
1095	13050	10764
1096	13063	10753
1097	13074	10740
1098	13085	10727
1099	13096	10715
1100	13106	10702
1101	13117	10689
1102	13128	10676
1103	13141	10665
1104	13151	10651
1105	13163	10640
1106	13176	10629
1107	13190	10618
1108	13202	10607
1109	13215	10596
1110	13228	10585
1111	13238	10572
1112	13251	10560
1113	13263	10548
1114	13274	10535
1115	13284	10522
1116	13297	10511
1117	13309	10499
1118	13319	10486
1119	13331	10474
1120	13343	10462
1121	13355	10450
1122	13368	10439
1123	13379	10427
1124	13392	10416
1125	13405	10405
1126	13419	10395
1127	13435	10386
1128	13452	10378
1129	13466	10368
1130	13479	10357
1131	13493	10346
1132	13506	10335
1133	13518	10323
1134	13531	10312
1135	13544	10301
1136	13557	10290
1137	13570	10279
1138	13582	10267
1139	13595	10255
1140	13608	10245
1141	13621	10233
1142	13634	10222
1143	13646	10211
1144	13660	10200
1145	13673	10189
1146	13686	10178
1147	13698	10166
1148	13711	10155
1149	13724	10143
1150	13737	10132
1151	13749	10121
1152	13760	10108
1153	13774	10097
1154	13786	10086
1155	13798	10074
1156	13810	10062
1157	13823	10050
1158	13836	10039
1159	13847	10027
1160	13860	10016
1161	13874	10005
1162	13885	9993
1163	13898	9982
1164	13912	9971
1165	13925	9960
1166	13937	9948
1167	13948	9935
1168	13958	9922
1169	13971	9911
1170	13984	9900
1171	13996	9888
1172	14007	9875
1173	14019	9864
1174	14032	9852
1175	14044	9840
1176	14056	9828
1177	14068	9816
1178	14080	9805
1179	14090	9791
1180	14103	9780
1181	14113	9767
1182	14126	9755
1183	14136	9742
1184	14148	9730
1185	14160	9718
1186	14172	9707
1187	14184	9695
1188	14196	9683
1189	14210	9672
1190	14221	9659
1191	14234	9648
1192	14244	9635
1193	14255	9623
1194	14268	9611
1195	14282	9600
1196	14293	9588
1197	14304	9575
1198	14316	9564
1199	14327	9551
1200	14339	9539
1201	14351	9527
1202	14364	9516
1203	14377	9505
1204	14390	9494
1205	14401	9481
1206	14411	9468
1207	14421	9455
1208	14434	9443
1209	14446	9431
1210	14457	9419
1211	14469	9407
1212	14481	9395
1213	14492	9383
1214	14504	9371
1215	14517	9359
1216	14529	9347
1217	14539	9334
1218	14550	9322
1219	14561	9309
1220	14574	9298
1221	14584	9285
1222	14595	9272
1223	14606	9260
1224	14619	9249
1225	14631	9237
1226	14642	9224
1227	14654	9213
1228	14667	9201
1229	14678	9189
1230	14688	9175
1231	14701	9164
1232	14713	9152
1233	14725	9140
1234	14735	9127
1235	14746	9114
1236	14756	9102
1237	14767	9089
1238	14778	9076
1239	14789	9064
1240	14801	9052
1241	14811	9039
1242	14823	9027
1243	14833	9014
1244	14843	9001
1245	14856	8989
1246	14866	8977
1247	14878	8965
1248	14890	8953
1249	14904	8942
1250	14916	8930
1251	14926	8917
1252	14935	8904
1253	14945	8891
1254	14957	8879
1255	14967	8866
1256	14979	8854
1257	14992	8842
1258	15003	8830
1259	15017	8819
1260	15029	8808
1261	15041	8796
1262	15052	8783
1263	15064	8771
1264	15076	8759
1265	15088	8748
1266	15098	8734
1267	15110	8722
1268	15123	8711
1269	15132	8698
1270	15142	8684
1271	15151	8671
1272	15161	8658
1273	15171	8645
1274	15181	8632
1275	15190	8619
1276	15204	8608
1277	15213	8594
1278	15223	8581
1279	15233	8568
1280	15242	8555
1281	15251	8542
1282	15261	8528
1283	15270	8515
1284	15280	8502
1285	15289	8488
1286	15298	8475
1287	15308	8462
1288	15317	8449
1289	15326	8435
1290	15335	8422
1291	15345	8408
1292	15354	8395
1293	15364	8382
1294	15373	8369
1295	15383	8356
1296	15392	8342
1297	15401	8329
1298	15413	8317
1299	15422	8304
1300	15432	8291
1301	15441	8278
1302	15451	8265
1303	15460	8252
1304	15469	8238
1305	15479	8225
1306	15488	8212
1307	15497	8199
1308	15506	8185
1309	15515	8172
1310	15525	8159
1311	15534	8146
1312	15543	8132
1313	15552	8119
1314	15561	8106
1315	15570	8092
1316	15582	8081
1317	15592	8068
1318	15602	8055
1319	15612	8042
1320	15621	8029
1321	15631	8016
1322	15640	8003
1323	15651	7991
1324	15660	7978
1325	15670	7965
1326	15680	7952
1327	15689	7939
1328	15699	7926
1329	15708	7913
1330	15717	7900
1331	15728	7887
1332	15736	7874
1333	15747	7861
1334	15758	7849
1335	15770	7838
1336	15783	7826
1337	15795	7814
1338	15805	7802
1339	15815	7789
1340	15825	7777
1341	15836	7764
1342	15845	7751
1343	15854	7738
1344	15864	7725
1345	15873	7712
1346	15883	7700
1347	15892	7687
1348	15901	7673
1349	15911	7661
1350	15921	7648
1351	15930	7635
1352	15939	7622
1353	15949	7609
1354	15958	7596
1355	15967	7583
1356	15977	7570
1357	15986	7557
1358	15995	7544
1359	16004	7531
1360	16014	7518
1361	16023	7506
1362	16033	7493
1363	16043	7480
1364	16052	7467
1365	16061	7454
1366	16071	7442
1367	16081	7429
1368	16090	7416
1369	16099	7403
1370	16109	7390
1371	16118	7377
1372	16128	7365
1373	16137	7352
1374	16146	7339
1375	16155	7326
1376	16165	7313
1377	16174	7300
1378	16183	7288
1379	16193	7275
1380	16203	7262
1381	16213	7250
1382	16222	7237
1383	16232	7224
1384	16241	7212
1385	16250	7199
1386	16260	7186
1387	16269	7173
1388	16279	7161
1389	16288	7148
1390	16298	7135
1391	16307	7122
1392	16316	7110
1393	16326	7097
1394	16335	7084
1395	16345	7071
1396	16354	7059
1397	16363	7046
1398	16372	7033
1399	16381	7020
1400	16391	7008
1401	16400	6995
1402	16409	6982
1403	16419	6969
1404	16428	6957
1405	16437	6944
1406	16447	6931
1407	16456	6919
1408	16465	6906
1409	16476	6894
1410	16485	6881
1411	16495	6869
1412	16504	6856
1413	16513	6843
1414	16523	6831
1415	16532	6818
1416	16541	6805
1417	16551	6793
1418	16560	6780
1419	16569	6767
1420	16579	6755
1421	16589	6743
1422	16598	6730
1423	16607	6717
1424	16617	6705
1425	16627	6692
1426	16636	6680
1427	16645	6667
1428	16654	6654
1429	16666	6643
1430	16677	6631
1431	16687	6618
1432	16697	6606
1433	16708	6594
1434	16717	6582
1435	16728	6570
1436	16737	6557
1437	16747	6545
1438	16757	6533
1439	16767	6520
1440	16777	6508
1441	16787	6495
1442	16797	6483
1443	16808	6471
1444	16817	6459
1445	16827	6446
1446	16836	6434
1447	16846	6422
1448	16856	6409
1449	16865	6397
1450	16874	6384
1451	16883	6371
1452	16892	6359
1453	16901	6346
1454	16911	6334
1455	16921	6322
1456	16930	6309
1457	16940	6297
1458	16949	6284
1459	16958	6272
1460	16969	6260
1461	16978	6247
1462	16987	6235
1463	16997	6222
1464	17006	6210
1465	17015	6197
1466	17024	6185
1467	17034	6173
1468	17043	6160
1469	17052	6148
1470	17061	6135
1471	17070	6123
1472	17079	6110
1473	17088	6098
1474	17097	6085
1475	17107	6073
1476	17116	6060
1477	17125	6048
1478	17135	6036
1479	17144	6023
1480	17153	6011
1481	17162	5998
1482	17171	5986
1483	17180	5973
1484	17190	5961
1485	17199	5949
1486	17208	5936
1487	17217	5924
1488	17227	5912
1489	17237	5900
1490	17248	5888
1491	17259	5876
1492	17268	5864
1493	17278	5851
1494	17287	5839
1495	17296	5827
1496	17305	5814
1497	17314	5802
1498	17324	5790
1499	17332	5777
1500	17343	5765
1501	17352	5753
1502	17362	5741
1503	17372	5729
1504	17381	5716
1505	17390	5704
1506	17399	5692
1507	17408	5679
1508	17418	5667
1509	17427	5655
1510	17436	5642
1511	17445	5630
1512	17454	5618
1513	17463	5605
1514	17472	5593
1515	17482	5581
1516	17490	5568
1517	17500	5556
1518	17509	5544
1519	17518	5532
1520	17527	5519
1521	17536	5507
1522	17546	5495
1523	17556	5483
1524	17567	5471
1525	17576	5459
1526	17586	5447
1527	17595	5435
1528	17604	5423
1529	17613	5410
1530	17622	5398
1531	17632	5386
1532	17641	5374
1533	17650	5361
1534	17659	5349
1535	17668	5337
1536	17677	5325
1537	17686	5312
1538	17695	5300
1539	17705	5288
1540	17714	5276
1541	17723	5264
1542	17732	5251
1543	17741	5239
1544	17751	5227
1545	17760	5215
1546	17769	5203
1547	17778	5191
1548	17787	5178
1549	17796	5166
1550	17806	5154
1551	17816	5142
1552	17825	5130
1553	17836	5119
1554	17846	5107
1555	17857	5095
1556	17867	5083
1557	17876	5071
1558	17886	5059
1559	17895	5047
1560	17905	5035
1561	17916	5023
1562	17925	5011
1563	17936	5000
1564	17946	4988
1565	17956	4976
1566	17967	4964
1567	17976	4952
1568	17986	4940
1569	17997	4929
1570	18006	4917
1571	18016	4905
1572	18025	4893
1573	18036	4881
1574	18045	4869
1575	18055	4857
1576	18064	4845
1577	18073	4833
1578	18083	4821
1579	18093	4809
1580	18103	4797
1581	18112	4785
1582	18122	4773
1583	18134	4762
1584	18144	4750
1585	18158	4739
1586	18170	4728
1587	18181	4717
1588	18193	4705
1589	18204	4694
1590	18216	4682
1591	18227	4671
1592	18238	4659
1593	18250	4648
1594	18261	4636
1595	18274	4625
1596	18285	4614
1597	18295	4602
1598	18305	4590
1599	18317	4579
1600	18330	4568
1601	18340	4556
1602	18352	4545
1603	18363	4533
1604	18373	4521
1605	18387	4511
1606	18400	4499
1607	18411	4488
1608	18425	4477
1609	18439	4466
1610	18452	4455
1611	18469	4445
1612	18488	4435
1613	18502	4424
1614	18513	4413
1615	18528	4402
1616	18539	4391
1617	18553	4380
1618	18570	4370
1619	18582	4358
1620	18595	4347
1621	18608	4336
1622	18622	4325
1623	18634	4314
1624	18647	4303
1625	18660	4292
1626	18670	4280
1627	18682	4269
1628	18694	4257
1629	18704	4245
1630	18714	4234
1631	18726	4222
1632	18737	4211
1633	18749	4199
1634	18759	4187
1635	18769	4176
1636	18780	4164
1637	18789	4152
1638	18800	4141
1639	18813	4129
1640	18830	4119
1641	18843	4108
1642	18857	4097
1643	18869	4086
1644	18881	4074
1645	18890	4062
1646	18901	4051
1647	18913	4039
1648	18925	4028
1649	18934	4016
1650	18946	4005
1651	18956	3993
1652	18965	3981
1653	18978	3970
1654	18988	3958
1655	19000	3947
1656	19010	3935
1657	19020	3923
1658	19032	3912
1659	19042	3900
1660	19051	3888
1661	19060	3876
1662	19069	3864
1663	19079	3852
1664	19092	3841
1665	19104	3830
1666	19114	3818
1667	19126	3806
1668	19135	3795
1669	19148	3783
